Source,Target,Weight
64,2,14
64,13,7
64,4,13
64,3,9
64,6,10
64,30,3
64,16,7
64,42,8
64,12,10
64,39,3
64,23,2
64,7,2
64,31,5
64,9,8
64,21,1
64,59,1
64,11,2
64,60,2
64,58,1
64,38,1
64,29,1
64,5,1
64,14,3
64,45,1
64,63,1
64,8,2
64,18,1
64,0,12
64,51,4
64,27,2
64,44,1
64,1,1
64,57,2
64,22,1
64,20,3
64,10,3
64,24,1
64,61,1
64,46,1
64,19,1
64,26,2
226,7,3
226,123,2
226,83,1
226,216,10
226,76,3
226,36,3
226,1,6
226,0,7
226,79,2
226,3,5
226,164,3
226,27,6
226,21,12
226,10,4
226,18,4
226,115,1
226,179,1
226,25,2
226,30,1
226,56,1
226,72,2
226,33,3
226,195,1
226,11,1
226,112,1
226,35,2
226,128,1
226,92,1
226,14,1
226,140,1
226,132,1
226,41,1
226,74,1
226,181,1
226,145,1
226,20,2
226,19,1
226,13,1
226,28,2
226,2,2
226,66,1
226,43,1
226,15,1
226,149,1
226,95,1
226,96,2
226,4,2
226,82,1
226,6,1
226,16,1
226,208,1
226,78,1
185,76,3
185,107,2
185,111,4
185,84,2
185,8,4
185,5,4
185,1,2
185,53,2
185,19,2
185,85,2
185,13,3
185,86,3
185,14,2
185,48,3
185,38,3
185,7,4
185,149,1
185,36,2
185,88,1
185,133,1
185,47,3
185,74,1
185,44,1
185,17,2
185,136,1
185,35,1
185,33,1
185,25,2
185,30,2
185,12,2
185,18,3
185,10,3
185,20,2
185,6,3
185,43,1
185,21,1
185,81,1
185,0,1
185,60,1
185,72,1
185,69,1
185,162,1
185,79,1
185,108,1
185,73,1
185,58,1
185,9,1
185,77,1
185,45,1
185,66,1
185,159,1
185,93,1
185,110,1
314,106,8
314,94,1
314,0,11
314,25,2
314,217,5
314,124,7
314,19,5
314,162,4
314,249,3
314,14,7
314,46,4
314,114,7
314,49,4
314,12,5
314,1,8
314,102,2
314,16,10
314,57,5
314,193,1
314,17,1
314,83,2
314,5,2
314,51,2
314,97,2
314,93,1
314,15,2
314,41,3
314,2,1
314,4,2
314,79,2
314,42,2
314,30,1
314,39,1
314,34,3
314,7,2
314,44,1
314,8,1
314,85,1
314,100,1
314,43,1
314,204,1
314,237,1
314,96,1
314,37,1
314,236,1
314,181,1
314,137,1
314,54,1
315,81,1
315,18,5
315,5,2
315,158,1
315,8,1
315,10,9
315,96,1
315,108,1
315,260,2
315,27,1
315,31,1
315,140,2
315,13,3
315,11,3
315,1,1
315,3,2
315,20,1
315,22,1
315,202,1
315,152,1
315,15,1
315,6,1
315,245,1
315,51,1
315,93,1
315,19,1
315,14,1
315,17,1
60,6,23
60,58,1
60,1,4
60,9,1
60,2,45
60,4,35
60,27,1
60,39,2
60,20,4
60,10,3
60,35,1
60,13,4
60,0,5
60,55,1
60,29,3
60,44,1
60,46,2
60,37,1
60,19,1
60,25,1
60,42,1
60,14,2
60,12,2
60,16,2
60,43,1
60,5,1
60,3,1
60,18,1
60,51,1
213,83,7
213,123,6
213,29,9
213,92,4
213,15,3
213,36,13
213,76,5
213,117,5
213,120,5
213,40,3
213,5,2
213,190,2
213,28,2
213,53,2
213,22,1
213,32,1
213,11,9
213,152,1
213,81,1
213,56,3
213,7,5
213,111,1
213,27,6
213,167,1
213,90,1
213,153,1
213,91,2
213,2,3
213,4,2
213,50,2
213,13,1
213,147,1
213,73,1
213,169,1
213,45,1
213,78,1
213,115,1
213,43,1
213,16,2
213,71,5
213,0,5
213,94,1
213,164,1
213,3,4
213,129,1
213,193,2
213,189,1
213,145,2
213,9,1
213,135,1
213,197,3
213,87,2
213,44,1
213,42,1
213,6,1
213,136,1
213,154,1
213,25,1
213,203,1
213,60,1
213,177,1
213,12,1
213,30,1
257,18,17
257,54,1
257,77,2
257,7,2
257,24,1
257,112,3
257,34,2
257,171,1
257,50,1
257,67,2
257,13,10
257,43,1
257,23,2
257,20,3
257,22,2
257,8,2
257,94,1
257,78,3
257,3,8
257,6,4
257,60,2
257,4,7
257,2,8
257,12,2
257,45,2
257,42,2
257,151,1
257,88,1
257,157,1
257,74,1
257,122,1
257,149,1
257,107,2
257,73,1
257,58,3
257,161,1
257,70,1
257,32,1
257,114,1
257,96,2
257,1,1
257,0,2
257,25,1
257,15,1
257,177,1
257,187,1
257,5,1
257,10,1
85,38,3
85,8,4
85,62,2
85,14,1
85,7,3
85,19,3
85,17,3
85,22,2
85,48,1
85,9,1
85,5,3
85,29,4
85,26,1
85,24,1
85,50,3
85,13,1
85,67,1
85,23,1
85,53,2
85,3,1
85,37,1
85,40,1
85,61,1
85,31,1
85,1,1
205,103,1
205,82,1
205,156,8
205,52,1
205,22,15
205,59,12
205,128,2
205,7,1
205,5,14
205,14,6
205,97,3
205,126,6
205,46,7
205,10,16
205,32,8
205,75,17
205,19,5
205,31,1
205,1,3
205,140,2
205,41,1
205,20,4
205,18,4
205,24,3
205,50,1
205,62,1
205,8,6
205,51,4
205,15,2
205,30,3
205,112,6
205,54,2
205,107,1
205,37,2
205,43,3
205,3,2
205,23,1
205,26,2
205,34,1
205,102,1
205,73,1
205,16,2
205,0,2
205,42,2
205,12,2
205,2,3
205,78,2
205,13,3
205,68,1
205,48,1
205,134,1
205,4,1
205,109,1
205,58,2
205,178,1
205,188,1
205,158,1
205,89,1
205,6,1
205,47,1
205,93,1
238,19,2
238,35,1
238,33,1
238,5,3
238,201,1
238,155,1
238,114,1
238,143,1
238,102,1
238,32,2
238,52,1
238,94,1
238,55,1
238,22,3
238,103,1
238,0,3
238,115,1
238,18,2
238,7,4
238,84,1
238,64,5
238,10,2
238,59,4
238,8,2
238,12,1
238,3,4
238,130,3
238,31,2
238,6,1
238,11,1
238,156,1
238,24,4
238,126,1
238,171,4
238,1,1
238,75,1
238,28,1
238,183,1
238,51,1
238,9,1
238,178,1
238,200,1
238,131,2
238,26,1
238,101,2
238,44,1
238,100,1
238,79,1
238,14,1
238,15,1
238,30,1
238,87,1
238,74,1
238,107,1
238,205,1
238,112,1
238,110,1
238,34,1
238,221,1
238,16,1
222,99,20
222,33,11
222,21,6
222,47,7
222,37,2
222,18,7
222,34,1
222,35,1
222,50,2
222,67,5
222,4,1
222,2,2
222,43,5
222,62,1
222,5,3
222,8,6
222,81,3
222,3,3
222,44,2
222,7,3
222,60,1
222,72,2
222,138,1
222,66,4
222,58,2
222,177,1
222,188,1
222,15,5
222,74,1
222,17,2
222,54,1
222,20,2
222,45,2
222,28,2
222,23,2
222,52,1
222,13,1
222,147,1
222,88,1
222,97,1
222,92,1
222,89,1
222,1,1
222,9,1
111,4,3
111,81,2
111,2,3
111,66,2
111,100,2
111,88,8
111,99,1
111,107,5
111,33,1
111,35,1
111,7,5
111,36,10
111,28,8
111,47,2
111,87,3
111,44,1
111,20,3
111,110,3
111,6,4
111,18,3
111,96,1
111,21,1
111,10,2
111,95,1
111,1,4
111,17,8
111,22,2
111,69,12
111,15,9
111,40,1
111,11,1
111,19,1
111,55,1
111,84,1
111,34,2
111,24,1
111,23,1
111,26,1
111,43,1
111,5,4
111,8,1
111,75,1
111,13,2
111,3,2
111,37,1
111,30,1
111,12,3
111,76,2
111,0,6
111,14,1
111,39,4
111,92,1
111,27,3
111,52,1
111,103,1
111,71,1
111,25,1
111,57,1
111,79,1
111,42,1
111,74,1
111,77,1
111,63,1
111,51,1
35,33,103
35,21,53
35,18,12
35,13,10
35,1,12
35,3,13
35,20,15
35,10,2
35,6,2
35,27,4
35,2,5
35,4,3
35,14,4
35,32,2
35,7,9
35,11,3
35,29,1
35,24,1
35,26,1
35,28,3
35,22,1
35,0,2
35,25,1
35,30,1
115,84,10
115,95,1
115,5,3
115,55,3
115,19,10
115,1,24
115,71,1
115,68,1
115,34,2
115,16,4
115,14,8
115,41,6
115,46,6
115,10,10
115,114,2
115,39,3
115,110,1
115,6,3
115,88,1
115,15,5
115,7,6
115,4,2
115,2,2
115,20,3
115,0,6
115,65,1
115,102,1
115,70,1
115,37,1
115,35,1
115,21,2
115,3,3
115,11,3
115,13,1
115,29,3
115,63,1
115,40,3
115,32,1
115,112,1
115,18,1
115,111,1
250,13,1
250,82,1
250,109,1
250,232,1
250,7,3
250,155,1
250,102,1
250,46,1
250,80,3
250,84,1
250,143,1
250,115,1
250,182,1
250,19,2
250,123,1
250,71,1
250,27,1
250,60,2
250,0,5
250,68,3
250,95,1
250,142,1
250,198,2
250,116,1
250,72,1
250,21,1
250,94,1
250,15,1
250,56,1
250,70,3
250,150,3
250,61,2
250,1,1
250,125,2
250,65,1
250,16,1
250,63,1
250,209,1
250,124,1
250,2,1
250,4,1
99,2,6
99,4,6
99,66,7
99,13,3
99,18,5
99,28,2
99,33,11
99,6,5
99,43,1
99,70,1
99,97,1
99,48,1
99,58,4
99,68,1
99,15,2
99,45,2
99,35,4
99,23,1
99,7,2
99,76,1
99,81,3
99,3,7
99,72,1
99,21,4
99,9,4
99,47,1
99,59,1
99,46,1
99,1,1
99,31,1
99,24,1
99,10,1
99,11,1
99,38,2
99,89,1
99,17,1
99,25,1
99,78,1
168,35,1
168,20,1
168,162,3
168,29,4
168,12,4
168,19,3
168,139,10
168,40,3
168,57,1
168,0,2
168,32,1
168,9,2
168,8,2
168,5,2
168,7,3
168,156,1
168,59,1
168,14,1
168,49,1
168,30,3
168,25,1
168,48,1
168,117,1
168,6,2
168,2,1
168,4,1
168,22,2
168,110,1
168,1,1
168,51,1
168,50,1
168,53,1
168,120,1
168,92,1
168,28,1
168,69,1
168,147,1
168,36,1
168,81,1
168,15,1
168,85,1
168,99,1
168,145,1
168,17,1
168,88,1
168,111,1
168,37,1
168,79,1
134,3,5
134,21,5
134,35,1
134,33,1
134,99,2
134,67,3
134,44,3
134,1,5
134,100,1
134,10,2
134,61,3
134,95,1
134,28,5
134,5,2
134,15,2
134,88,1
134,76,1
134,92,2
134,42,2
134,124,1
134,0,6
134,14,2
134,106,1
134,93,2
134,12,3
134,7,5
134,128,1
134,25,1
134,56,1
134,8,2
134,27,1
134,6,4
134,23,2
134,47,2
134,70,2
134,34,2
134,26,2
134,65,1
134,121,1
134,20,1
134,46,1
134,68,1
134,41,1
134,125,1
134,58,1
134,89,1
134,9,2
134,103,1
134,40,2
134,53,3
134,85,1
134,62,1
134,98,2
134,38,1
134,94,1
134,48,1
134,86,1
134,96,1
134,60,1
134,132,1
134,11,3
134,32,1
134,13,1
96,95,4
96,1,7
96,0,4
96,46,1
96,10,8
96,55,3
96,27,2
96,71,1
96,21,2
96,33,1
96,35,2
96,18,8
96,56,5
96,50,2
96,5,4
96,8,3
96,7,3
96,17,2
96,60,3
96,4,2
96,20,1
96,31,1
96,34,1
96,13,1
96,24,1
96,59,2
96,77,1
96,15,1
96,9,1
96,3,1
96,6,1
96,16,1
96,26,1
96,23,1
96,52,1
96,32,1
96,25,1
96,12,1
106,3,1
106,21,1
106,0,8
106,33,1
106,35,1
106,1,4
106,64,1
106,91,1
106,16,5
106,51,2
106,30,2
106,79,1
106,12,3
106,42,3
106,25,2
106,49,1
106,57,1
106,4,5
106,2,6
106,13,2
106,6,2
106,63,5
106,39,1
106,67,1
106,15,1
106,100,1
106,56,1
159,35,1
159,33,1
159,37,2
159,66,3
159,99,2
159,2,3
159,4,3
159,43,7
159,8,8
159,13,6
159,86,4
159,62,7
159,58,2
159,5,6
159,118,2
159,85,4
159,158,1
159,15,7
159,48,5
159,9,4
159,7,3
159,50,4
159,47,4
159,135,1
159,22,3
159,18,2
159,75,1
159,38,5
159,73,1
159,103,2
159,67,2
159,82,2
159,17,2
159,32,2
159,23,1
159,93,3
159,72,1
159,20,1
159,69,2
159,95,1
159,40,1
159,29,1
159,98,1
159,132,1
159,92,1
159,77,1
159,74,2
159,45,1
159,126,1
159,19,1
159,6,1
159,127,1
159,28,2
159,116,1
159,3,1
159,76,1
159,111,1
159,136,1
159,54,1
177,116,1
177,107,4
177,74,5
177,15,7
177,17,4
177,122,3
177,112,2
177,88,1
177,28,2
177,51,4
177,31,1
177,83,2
177,8,6
177,5,6
177,97,1
177,34,2
177,113,1
177,24,1
177,131,1
177,173,1
177,39,1
177,1,2
177,0,7
177,25,9
177,49,2
177,41,1
177,14,2
177,79,3
177,12,8
177,30,7
177,56,3
177,129,1
177,144,1
177,22,2
177,145,1
177,133,1
177,42,2
177,114,1
177,16,3
177,44,1
177,100,1
177,50,2
177,67,2
177,43,2
177,62,3
177,53,1
177,6,1
177,96,1
177,160,1
177,101,1
177,106,1
177,13,1
177,124,1
177,71,1
177,63,1
177,123,2
177,27,2
177,166,1
177,111,1
177,36,1
177,69,2
177,3,1
177,103,1
177,57,1
177,118,1
177,85,1
177,59,1
177,135,1
177,89,1
74,7,2
74,35,2
74,33,2
74,21,1
74,18,1
74,29,1
74,11,1
74,44,1
74,43,1
74,67,1
74,12,1
74,64,1
74,9,1
74,3,1
74,13,1
74,48,1
74,4,1
74,45,1
74,6,1
74,2,1
119,26,49
119,33,5
119,35,5
119,53,17
119,0,16
119,34,4
119,24,34
119,15,1
119,81,1
119,23,14
119,17,1
119,6,3
119,46,2
119,31,28
119,14,9
119,9,2
119,8,8
119,28,1
119,90,11
119,54,2
119,11,6
119,1,10
119,56,3
119,59,2
119,30,1
119,67,1
119,22,1
119,85,6
119,48,8
119,38,2
119,29,1
119,19,2
119,113,2
119,92,1
119,32,3
119,39,1
119,64,1
119,61,1
119,2,5
119,4,5
119,37,1
119,50,1
119,45,1
116,2,8
116,66,5
116,99,7
116,4,8
116,88,13
116,33,2
116,45,4
116,35,2
116,72,3
116,21,3
116,28,7
116,83,1
116,22,3
116,15,5
116,7,6
116,3,9
116,78,5
116,13,3
116,6,4
116,23,1
116,32,1
116,18,2
116,47,4
116,82,2
116,10,1
116,108,3
116,67,1
116,105,3
116,111,3
116,73,1
116,43,2
116,5,2
116,65,1
116,70,1
116,34,1
116,42,1
116,0,3
116,107,5
116,94,4
116,17,1
116,76,1
116,8,1
116,12,2
116,87,2
116,77,2
116,25,1
116,37,1
116,38,2
116,58,1
116,109,1
116,36,2
116,74,2
116,95,1
116,20,1
116,39,1
116,63,1
116,27,2
116,89,1
116,9,1
188,35,1
188,33,1
188,159,11
188,15,8
188,13,6
188,85,3
188,62,6
188,8,11
188,22,7
188,5,10
188,38,4
188,48,6
188,44,4
188,43,2
188,9,7
188,50,2
188,129,1
188,14,1
188,40,2
188,1,3
188,84,1
188,98,2
188,30,2
188,89,1
188,29,1
188,51,1
188,12,1
188,7,3
188,25,1
188,121,1
188,4,1
188,46,1
188,6,4
188,2,1
188,158,2
188,37,4
188,58,2
188,145,1
188,111,1
188,144,1
188,17,2
188,69,1
188,56,1
188,118,1
188,28,1
188,54,2
188,23,3
188,36,1
188,47,1
188,95,1
188,93,2
188,19,1
188,86,1
188,74,1
188,11,1
188,141,1
188,110,1
157,74,2
157,15,3
157,100,2
157,28,8
157,5,5
157,116,2
157,44,4
157,17,4
157,155,1
157,30,2
157,12,1
157,55,1
157,123,1
157,27,2
157,143,1
157,149,1
157,79,1
157,71,2
157,1,4
157,0,2
157,25,2
157,60,1
157,14,7
157,9,2
157,57,2
157,37,1
157,81,1
157,65,1
157,33,3
157,18,2
157,7,10
157,142,1
157,92,3
157,72,2
157,23,3
157,66,1
157,47,3
157,152,1
157,69,1
157,3,4
157,8,1
157,53,1
157,43,2
157,22,1
157,6,2
157,140,1
157,118,1
157,68,1
157,41,1
157,46,1
157,10,4
157,75,1
157,21,1
157,49,1
157,16,1
157,39,1
157,114,1
157,20,1
157,76,1
157,134,2
157,147,1
157,93,1
157,58,1
157,89,1
157,77,1
157,32,1
157,35,1
157,82,1
174,35,13
174,33,21
174,37,5
174,21,13
174,18,12
174,54,1
174,99,1
174,0,3
174,34,1
174,20,6
174,44,2
174,136,1
174,45,1
174,8,5
174,100,2
174,23,1
174,7,2
174,115,1
174,66,1
174,5,2
174,43,4
174,73,2
174,3,10
174,112,2
174,4,2
174,60,2
174,6,5
174,2,3
174,38,1
174,9,1
174,1,3
174,110,1
174,132,2
174,47,1
174,28,3
174,122,1
174,72,2
174,106,1
174,134,3
174,68,2
174,102,1
174,146,1
174,22,2
174,142,1
174,32,2
174,74,2
174,61,1
174,19,2
174,13,2
174,95,1
174,116,1
174,127,1
174,15,1
174,87,1
174,17,1
174,149,1
174,159,1
95,72,2
95,18,11
95,92,1
95,87,1
95,10,2
95,6,1
95,82,6
95,8,8
95,67,1
95,13,3
95,4,2
95,1,6
95,9,8
95,21,16
95,3,9
95,20,12
95,54,4
95,77,3
95,15,2
95,19,1
95,24,2
95,26,1
95,58,2
95,47,8
95,45,5
95,76,1
95,36,1
95,35,2
95,32,1
95,23,5
95,38,1
95,86,1
95,52,1
95,40,1
95,29,2
95,5,4
95,37,5
95,43,2
95,7,2
95,14,1
95,39,1
95,44,1
95,75,1
95,66,1
95,50,1
95,56,1
95,17,1
95,11,2
95,53,1
95,0,2
95,25,1
95,28,1
95,79,1
95,49,1
95,30,1
95,12,1
95,73,2
95,74,1
95,22,1
95,33,1
108,4,14
108,6,13
108,2,17
108,99,3
108,81,7
108,105,19
108,84,1
108,27,2
108,44,5
108,45,1
108,96,1
108,100,1
108,74,2
108,12,1
108,17,2
108,23,2
108,47,5
108,66,18
108,40,1
108,43,3
108,21,5
108,10,6
108,3,14
108,75,1
108,13,16
108,18,5
108,7,1
108,0,1
108,36,1
108,94,2
108,20,7
108,35,1
108,1,1
108,54,1
108,19,1
108,55,1
108,38,2
108,28,1
108,5,1
108,8,1
108,62,1
108,98,1
108,39,1
138,21,1
138,35,2
138,33,1
138,7,3
138,27,7
138,123,4
138,135,1
138,0,3
138,5,2
138,40,1
138,8,1
138,71,3
138,39,2
138,4,8
138,2,9
138,60,2
138,74,2
138,117,2
138,94,2
138,20,3
138,32,1
138,52,2
138,18,2
138,47,2
138,13,4
138,10,3
138,37,1
138,36,3
138,3,2
138,22,2
138,1,2
138,55,2
138,84,1
138,14,1
138,41,1
138,46,1
138,28,1
138,66,1
138,105,1
138,95,2
138,6,2
138,42,1
138,12,3
138,30,1
138,25,1
138,69,1
138,83,1
138,19,1
138,15,1
54,35,8
54,33,8
54,21,6
54,45,2
54,23,1
54,3,6
54,18,6
54,37,5
54,38,1
54,9,4
54,32,1
54,29,2
54,11,3
54,1,5
54,19,2
54,20,3
54,47,1
54,8,2
54,53,1
54,6,2
54,51,1
54,30,2
54,12,2
54,7,1
54,50,1
54,5,2
54,10,1
54,25,1
54,14,2
54,46,1
54,41,1
54,15,1
54,34,1
152,35,1
152,20,1
152,15,2
152,33,1
152,54,1
152,4,14
152,2,14
152,105,5
152,13,17
152,106,1
152,7,2
152,0,6
152,25,1
152,63,3
152,16,3
152,42,2
152,107,3
152,78,5
152,94,1
152,12,4
152,47,3
152,3,12
152,109,5
152,18,2
152,77,1
152,39,1
152,148,1
152,44,1
152,100,1
152,67,1
152,134,1
152,6,2
152,5,2
152,14,1
152,64,1
152,10,2
152,129,1
152,32,2
152,60,1
152,81,2
152,37,1
152,36,2
152,108,2
152,133,1
152,116,1
152,1,2
152,19,1
152,55,1
152,51,2
152,11,1
152,66,2
152,46,1
152,69,1
47,21,5
47,35,1
47,33,1
47,29,1
47,3,9
47,11,1
47,7,1
47,18,3
47,13,5
47,10,2
47,20,4
47,1,2
47,17,1
47,40,1
47,5,1
47,37,1
47,8,1
47,2,6
47,4,5
47,6,5
136,2,2
136,3,6
136,21,3
136,81,1
136,99,1
136,44,9
136,89,2
136,8,8
136,23,6
136,9,5
136,102,1
136,100,3
136,74,3
136,46,1
136,33,2
136,35,1
136,56,2
136,1,3
136,26,2
136,58,3
136,22,2
136,7,4
136,0,2
136,41,1
136,13,2
136,12,1
136,85,2
136,5,2
136,17,2
136,88,2
136,6,6
136,73,2
136,133,1
136,83,1
136,71,1
136,36,1
136,27,1
136,86,1
136,48,2
136,38,3
136,62,1
136,126,1
136,59,1
136,104,1
136,32,2
136,11,1
136,15,2
136,97,1
136,29,1
136,19,1
136,113,1
136,24,1
136,110,1
136,54,1
136,76,1
136,134,3
136,43,1
136,28,2
136,10,2
136,75,1
136,111,1
136,116,1
136,45,2
136,4,1
136,47,1
136,95,1
136,18,1
136,108,1
136,127,1
136,14,1
136,91,2
136,98,1
136,69,1
189,35,2
189,33,2
189,23,4
189,28,4
189,3,9
189,85,2
189,8,15
189,5,13
189,62,5
189,21,2
189,141,17
189,98,10
189,135,11
189,22,4
189,74,2
189,6,4
189,60,1
189,2,2
189,4,2
189,92,1
189,97,1
189,15,3
189,54,2
189,50,4
189,43,1
189,73,1
189,17,1
189,9,6
189,7,9
189,47,3
189,100,1
189,58,1
189,38,2
189,89,2
189,67,2
189,107,1
189,11,1
189,94,1
189,185,1
189,99,1
189,81,1
189,20,1
189,56,1
189,1,1
189,108,1
189,110,1
189,66,1
189,37,1
189,118,1
189,13,1
189,48,2
189,117,1
189,44,2
189,36,3
189,71,1
189,27,1
189,136,1
189,59,1
189,159,1
189,123,1
206,35,3
206,33,2
206,18,2
206,7,7
206,6,5
206,85,1
206,3,11
206,13,9
206,81,2
206,37,2
206,5,7
206,64,3
206,8,3
206,118,1
206,77,5
206,9,5
206,95,2
206,24,2
206,152,2
206,15,3
206,19,2
206,14,1
206,10,2
206,26,2
206,23,4
206,34,2
206,0,2
206,47,2
206,112,2
206,67,1
206,31,1
206,22,3
206,58,2
206,48,3
206,62,4
206,4,4
206,2,4
206,50,2
206,43,1
206,78,1
206,53,1
206,17,1
206,11,1
206,109,1
206,161,1
206,126,1
206,30,1
206,25,1
206,106,1
206,49,1
206,12,1
206,193,1
206,89,1
206,108,1
206,105,1
37,35,6
37,33,5
37,21,5
37,25,1
37,23,1
37,1,2
37,10,3
37,13,1
37,3,1
37,32,2
37,20,2
37,18,1
37,0,1
181,142,2
181,116,1
181,17,3
181,72,3
181,8,2
181,20,5
181,110,2
181,1,9
181,0,12
181,6,6
181,154,1
181,50,1
181,49,2
181,22,1
181,46,1
181,67,1
181,13,3
181,36,3
181,60,2
181,5,1
181,76,2
181,15,2
181,88,1
181,43,3
181,87,2
181,144,1
181,145,1
181,152,1
181,70,6
181,150,1
